FileName: Palmsens_5mM_CV_100mVpS_E1_scan_01.csv
V,uA
-0.40001,-232.727
-0.390003,-138.309
-0.379995,-103.613408
-0.369987,-86.739496
-0.359979,-75.648216
-0.349972,-66.446656
-0.339964,-60.002088
-0.329956,-54.80698
-0.319948,-50.494948
-0.30994,-46.90628
-0.299933,-43.862492
-0.289925,-41.279032
-0.279917,-39.052556
-0.269909,-37.145492
-0.259902,-35.473288
-0.249894,-34.00776
-0.239886,-32.701936
-0.229878,-31.53703
-0.21987,-30.49425
-0.209863,-29.55481
-0.199855,-28.699918
-0.189847,-27.910788
-0.179839,-27.206208
-0.169832,-26.548598
-0.159824,-25.928568
-0.149816,-25.346116
-0.139808,-24.820028
-0.129800904,-24.322124
-0.11979312,-23.852404
-0.109785344,-23.401472
-0.09977756,-22.988118
-0.089769784,-22.56537
-0.079762,-22.152016
-0.069754224,-21.748056
-0.05974644,-21.35349
-0.049738664,-20.94953
-0.039730884,-20.536176
-0.029723104,-20.085246
-0.019715326,-19.62492
-0.009707546,-19.080044
0.000300233,-18.441224
0.010308012,-17.6427
0.020315792,-16.637497
0.03032357,-15.294097
0.040331348,-13.527949
0.050339128,-11.235712
0.060346908,-8.257685
0.070354688,-4.452949
0.080362472,0.376715
0.090370248,6.210643
0.100378032,13.129626
0.110385808,21.021868
0.120393584,29.815034
0.13040136,39.381364
0.140409,49.480352
0.150416,59.945724
0.160424,70.495648
0.170432,80.9892
0.18034,90.872112
0.190448,100.285312
0.200455,108.627544
0.210463,115.485464
0.220471,120.445712
0.230479,123.104328
0.240486,123.217056
0.250494,120.746336
0.260502,115.945792
0.27051,109.895792
0.280518,103.601536
0.290525,97.636088
0.300533,92.253088
0.310541,87.490128
0.320549,83.272032
0.330556,79.551856
0.340564,76.21684
0.350572,73.220016
0.36058,70.514432
0.370588,68.062496
0.380595,65.8642
0.390603,63.825616
0.400611,61.974912
0.410619,60.265128
0.420626,58.686868
0.430634,57.221344
0.440642,55.877944
0.45065,54.600304
0.460658,53.426004
0.470665,52.326856
0.480673,51.302864
0.490681,50.335244
0.500689,49.423984
0.510696,48.578488
0.520704,47.779964
0.530712,47.047196
0.54072,46.352012
0.550728,45.694404
0.560735,45.102556
0.570743,44.5295
0.580751,44.003412
0.590759,43.524296
0.600766,43.063968
0.610774,42.669404
0.620782,42.293628
0.63079,41.946036
0.640798,41.654808
0.650805,41.391764
0.660813,41.166296
0.670821,40.969016
0.680829,40.734156
0.690837,40.574452
0.700844,40.518084
0.690837,37.267616
0.680829,35.369948
0.670821,33.885632
0.660813,32.692542
0.650805,31.659158
0.640798,30.738504
0.63079,29.921192
0.620782,29.16964
0.610774,28.483848
0.600766,27.87321
0.590759,27.271968
0.580751,26.727092
0.570743,26.201006
0.560735,25.703102
0.550728,25.242776
0.54072,24.810634
0.530712,24.378492
0.520704,23.97453
0.510696,23.58936
0.500689,23.232374
0.490681,22.86599
0.480673,22.509004
0.470665,22.16141
0.460658,21.832604
0.45065,21.5038
0.440642,21.184392
0.430634,20.86498
0.420626,20.554966
0.410619,20.24495
0.400611,19.934936
0.390603,19.643708
0.380595,19.333694
0.370588,19.014282
0.36058,18.704268
0.350572,18.375464
0.340564,18.018476
0.330556,17.633304
0.320549,17.191768
0.310541,16.703259
0.300533,16.120806
0.290525,15.416224
0.280518,14.514361
0.27051,13.377638
0.260502,11.865138
0.250494,9.873523
0.240486,7.243089
0.230479,3.79628
0.220471,-0.599363
0.210463,-6.034968
0.200455,-12.5669
0.190448,-20.153826
0.18034,-28.702736
0.170432,-37.990988
0.160424,-48.089976
0.150416,-58.592924
0.140409,-69.396496
0.13040136,-80.190672
0.120393584,-90.693624
0.110385808,-100.595328
0.100378032,-109.529408
0.090370248,-117.157672
0.080362472,-123.010392
0.070354688,-126.627224
0.060346908,-127.576072
0.050339128,-125.565664
0.040331348,-120.943616
0.03032357,-114.536632
0.020315792,-107.500216
0.010308012,-100.755032
0.000300233,-94.705032
-0.009707546,-89.397192
-0.019715326,-84.831504
-0.029723104,-80.84828
-0.039730884,-77.372352
-0.049738664,-74.319168
-0.05974644,-71.604184
-0.069754224,-69.180424
-0.079762,-66.982136
-0.089769784,-65.018704
-0.09977756,-63.20558
-0.109785344,-61.570956
-0.11979312,-60.058452
-0.129800904,-58.752632
-0.139808,-57.456204
-0.149816,-56.234932
-0.159824,-55.116996
-0.169832,-54.083612
-0.179839,-53.115984
-0.189847,-52.204728
-0.199855,-51.368624
-0.209863,-50.598284
-0.21987,-49.884308
-0.229878,-49.273672
-0.239886,-48.907292
-0.249894,-48.982444
-0.259902,-49.489744
-0.269909,-50.598284
-0.279917,-48.907292
-0.289925,-46.596268
-0.299933,-46.464748
-0.30994,-46.586872
-0.319948,-46.972044
-0.329956,-47.620256
-0.339964,-48.597276
-0.349972,-50.0628
-0.359979,-52.0826
-0.369987,-54.70364
-0.379995,-58.010476
-0.390003,-62.003096
