Voltage,Current
-0.4,-0.3245193292521166
-0.39447236180904527,-0.004562974597094789
-0.38894472361809046,-0.18357674006827
-0.3834170854271357,0.16887564344069836
-0.3778894472361809,-0.19819349389872892
-0.37236180904522614,0.3684055802717971
-0.3668341708542714,0.06904545168248288
-0.3613065326633166,-0.05343940408879376
-0.35577889447236183,-0.4405918801953767
-0.3502512562814071,-0.030037761909492814
-0.34472361809045227,-0.2667165118304038
-0.3391959798994975,-0.1829412092178841
-0.33366834170854276,0.19459291049395053
-0.32814070351758795,-0.004128301318849907
-0.3226130653266332,0.031625639747756236
-0.31708542713567844,0.044111443213455635
-0.31155778894472363,-0.44148876914676505
-0.3060301507537688,-0.2059845329795245
-0.3005025125628141,-0.30127950223242256
-0.2949748743718593,-0.00628791735828954
-0.2894472361809045,-0.0549024077175267
-0.28391959798994976,-0.25506987696959305
-0.278391959798995,0.4909835634122362
-0.2728643216080402,-0.5921482804979143
-0.26733668341708544,0.3270870402998477
-0.2618090452261307,-0.23507146299003723
-0.2562814070351759,-0.17283115723212705
-0.2507537688442211,-0.14043261534157095
-0.24522613065326634,0.5043380911506085
-0.23969849246231156,0.09377936372003103
-0.2341708542713568,-0.31739108473098776
-0.22864321608040203,-0.19613102913825164
-0.22311557788944725,-0.14784051434399761
-0.21758793969849247,-0.22367170214729717
-0.21206030150753769,-0.3657114680163165
-0.20653266331658293,-0.2984741485489025
-0.20100502512562815,-0.6268232866231762
-0.19547738693467337,0.0027554913295825545
-0.18994974874371862,-0.7260826592930218
-0.18442211055276383,-0.6007448945022559
-0.17889447236180905,-0.01944071887322646
-0.17336683417085427,-0.5363231850646109
-0.1678391959798995,-1.096648342006262
-0.16231155778894474,-1.0628862374632766
-0.15678391959798996,-1.3001187091974244
-0.15125628140703518,-1.3383446934026413
-0.14572864321608042,-2.4993566905626445
-0.1402010050251256,-3.113578789207312
-0.13467336683417086,-3.5321385080280874
-0.1291457286432161,-4.972588360854835
-0.1236180904522613,-5.960751054417278
-0.11809045226130654,-6.873208932257997
-0.11256281407035174,-8.154150300293844
-0.10703517587939698,-9.8198851859382
-0.10150753768844223,-10.305328247404335
-0.09597989949748742,-11.87044781229868
-0.09045226130653267,-12.048527612414633
-0.08492462311557791,-12.122338331173056
-0.0793969849246231,-12.92288047530631
-0.07386934673366835,-12.71575401800624
-0.0683417085427136,-11.817338038112474
-0.06281407035175879,-11.835119086791487
-0.057286432160804035,-10.692939481028938
-0.051758793969849226,-9.15037024571058
-0.04623115577889447,-8.045489608906353
-0.04070351758793972,-6.442831024346345
-0.03517587939698491,-5.765920472004619
-0.029648241206030157,-4.662748434101951
-0.024120603015075348,-3.135939638555338
-0.018592964824120595,-3.0425908575628156
-0.013065326633165841,-2.467946201256358
-0.007537688442211032,-1.5264125412502787
-0.002010050251256279,-1.5564499633316506
0.0035175879396984744,-0.6797990730819146
0.009045226130653283,-0.5683015864330425
0.014572864321608037,-0.7423866181001517
0.02010050251256279,-0.5704839844462635
0.0256281407035176,-0.031646779201409195
0.031155778894472352,-0.04910549787361992
0.03668341708542716,0.011989392950892352
0.042211055276381915,-0.29203353969090884
0.04773869346733667,-0.13645080526496026
0.05326633165829148,-0.44541365634085306
0.05879396984924623,-0.014512825489471557
0.06432160804020104,0.22461504615531447
0.06984924623115579,0.3282824710124066
0.07537688442211055,0.6837908333392893
0.08090452261306535,0.48216029879136457
0.08643216080402011,-0.21809867403022515
0.09195979899497486,-0.10093607685133289
0.09748743718592967,0.39419959021961537
0.10301507537688448,-0.10240267593018429
0.10854271356783918,0.8013329960904241
0.11407035175879399,0.5568357866591108
0.1195979899497488,0.37065026740663365
0.1251256281407035,0.22014359106117448
0.1306532663316583,0.45088625633339113
0.1361809045226131,1.6563047663129715
0.1417085427135678,1.7752442333039984
0.14723618090452262,2.0821851780084386
0.15276381909547743,2.0689896554737763
0.15829145728643212,3.218740764664693
0.16381909547738693,4.779512370319635
0.16934673366834174,5.7515681540795605
0.17487437185929655,7.14416551978806
0.18040201005025125,8.633929356490956
0.18592964824120606,9.407064687464741
0.19145728643216087,10.559384276484591
0.19698492462311556,12.47311133287886
0.20251256281407037,14.198061880387579
0.20804020100502518,14.328136198192666
0.21356783919597988,14.778205469588015
0.2190954773869347,15.29802694454911
0.2246231155778895,15.460619902717662
0.2301507537688442,14.537544854331047
0.235678391959799,13.798754762506393
0.24120603015075381,12.653934572981795
0.2467336683417085,11.114862862592153
0.2522613065326633,9.805247252293775
0.25778894472361813,8.972221103588405
0.2633165829145728,7.443705247566394
0.26884422110552764,5.849553810516361
0.27437185929648245,4.474852825465196
0.27989949748743725,3.5141260808299024
0.28542713567839195,2.639840956170615
0.29095477386934676,2.375949647965264
0.29648241206030157,1.760091382892659
0.30201005025125627,0.5742644490091264
0.3075376884422111,0.41017666876825226
0.3130653266331659,0.8372051880293006
0.3185929648241206,0.1266842281462851
0.3241206030150754,0.3927064389483277
0.3296482412060302,-0.3261677734057169
0.3351758793969849,0.09663284176461434
0.3407035175879397,0.05855465755348045
0.3462311557788945,0.28473901481222574
0.3517587939698493,-0.12024550140996539
0.357286432160804,-0.3483761903832084
0.36281407035175883,0.48594241630611335
0.36834170854271364,0.05541223856131038
0.37386934673366834,0.0548498617325833
0.37939698492462315,-0.27362077050979305
0.38492462311557796,0.0617201641918779
0.39045226130653266,0.07148960288986184
0.39597989949748746,-0.27906527853952773
0.4015075376884423,-0.3637758311313863
