voltage,current
-0.5,-0.4183494672575828
-0.4949748743718593,-0.3838496776004665
-0.4899497487437186,-0.3434739718408098
-0.4849246231155779,-0.3136097602693358
-0.4798994974874372,-0.2658517324927326
-0.4748743718592965,-0.2447986555865363
-0.46984924623115576,-0.23289407038955454
-0.4648241206030151,-0.21028340885203303
-0.45979899497487436,-0.19294235751002511
-0.4547738693467337,-0.17541703193209382
-0.44974874371859297,-0.1507495471890954
-0.44472361809045224,-0.14232735894231438
-0.4396984924623116,-0.13212953981253825
-0.43467336683417085,-0.11460226450172824
-0.4296482412060302,-0.10372560678904602
-0.42462311557788945,-0.0929508931423701
-0.41959798994974873,-0.08608598917593427
-0.41457286432160806,-0.07856240228809563
-0.40954773869346733,-0.07104204170590313
-0.40452261306532666,-0.06360295708069798
-0.39949748743718594,-0.057114856832576735
-0.3944723618090452,-0.05195504482102345
-0.3894472361809045,-0.04792931723540821
-0.3844221105527638,-0.043326979800658555
-0.37939698492462315,-0.03974384007462369
-0.3743718592964824,-0.0359943420636772
-0.3693467336683417,-0.032232691811901464
-0.364321608040201,-0.02856864877219787
-0.3592964824120603,-0.026969253456199636
-0.35427135678391963,-0.024484879137640716
-0.3492462311557789,-0.021386785581530933
-0.3442211055276382,-0.020574571642039
-0.33919597989949746,-0.01821248674316066
-0.3341708542713568,-0.016861987040417352
-0.3291457286432161,-0.015101530990060247
-0.3241206030150754,-0.013323900697926947
-0.31909547738693467,-0.012198752109625649
-0.31407035175879394,-0.011545346342778285
-0.30904522613065327,-0.010054699684457925
-0.30402010050251255,-0.009111030045102164
-0.2989949748743719,-0.00822090377615562
-0.29396984924623115,-0.007530149907616917
-0.2889447236180904,-0.007038889884171657
-0.28391959798994976,-0.0061358849648494645
-0.27889447236180903,-0.005600951885092628
-0.27386934673366836,-0.005251987892885822
-0.26884422110552764,-0.00470475769854137
-0.2638190954773869,-0.004098596597642576
-0.25879396984924624,-0.003836986451532322
-0.2537688442211055,-0.003359501556373506
-0.24874371859296485,-0.0030796738663322705
-0.24371859296482412,-0.0028399110601655102
-0.2386934673366834,-0.002592427916579128
-0.23366834170854273,-0.0023017267036804295
-0.228643216080402,-0.002178272598706139
-0.22361809045226128,-0.0019148133035968853
-0.2185929648241206,-0.0017008916116675117
-0.21356783919597988,-0.0015648436264674584
-0.2085427135678392,-0.0014368965486264982
-0.20351758793969849,-0.0013095411413333708
-0.19849246231155776,-0.00116707172554287
-0.1934673366834171,-0.00105880489184715
-0.18844221105527637,-0.000959229423965862
-0.1834170854271357,-0.0008454730155268196
-0.17839195979899497,-0.0008052175565141492
-0.17336683417085424,-0.000721888089977749
-0.16834170854271358,-0.0006494829100302308
-0.16331658291457285,-0.0005880763722598946
-0.15829145728643218,-0.0005461789487552105
-0.15326633165829145,-0.0004911135280630075
-0.14824120603015073,-0.00044559570141577113
