Sample_ID,Device,Mean_Concentration_mM,Difference_mM,Actual_Concentration_mM,Predicted_Concentration_mM,Scan_Rate_mVs
51,STM32,0.7614916423769729,0.5229832847539457,0.5,1.0229832847539457,100
52,STM32,0.7615117620446417,0.5230235240892833,0.5,1.0230235240892833,100
53,STM32,0.7615313707313427,0.5230627414626854,0.5,1.0230627414626854,100
54,STM32,0.7615239605311528,0.5230479210623056,0.5,1.0230479210623056,100
55,STM32,0.761569385116454,0.523138770232908,0.5,1.023138770232908,100
56,STM32,0.7615871654911874,0.5231743309823749,0.5,1.0231743309823749,100
57,STM32,0.7615829239464023,0.5231658478928045,0.5,1.0231658478928045,100
58,STM32,0.7616008082693835,0.523201616538767,0.5,1.023201616538767,100
59,STM32,0.7616088358826119,0.5232176717652237,0.5,1.0232176717652237,100
60,STM32,0.7615972166298262,0.5231944332596523,0.5,1.0231944332596523,100
61,STM32,0.5639296966325515,0.1278593932651031,0.5,0.6278593932651031,100
62,STM32,0.5642743274656117,0.12854865493122336,0.5,0.6285486549312234,100
63,STM32,0.5646151985037742,0.12923039700754835,0.5,0.6292303970075483,100
64,STM32,0.564992374925434,0.12998474985086794,0.5,0.6299847498508679,100
65,STM32,0.5651907793781117,0.13038155875622337,0.5,0.6303815587562234,100
66,STM32,0.5657569316969928,0.13151386339398563,0.5,0.6315138633939856,100
67,STM32,0.5657000419500409,0.13140008390008173,0.5,0.6314000839000817,100
68,STM32,0.5658234317488695,0.13164686349773902,0.5,0.631646863497739,100
69,STM32,0.5660274069107514,0.13205481382150275,0.5,0.6320548138215027,100
70,STM32,0.5661385046692828,0.13227700933856568,0.5,0.6322770093385657,100
71,STM32,0.9048740470757126,0.8097480941514252,0.5,1.3097480941514252,100
72,STM32,0.9047416654334963,0.8094833308669926,0.5,1.3094833308669926,100
73,STM32,0.9052302004695463,0.8104604009390926,0.5,1.3104604009390926,100
74,STM32,0.9051698346694752,0.8103396693389504,0.5,1.3103396693389504,100
75,STM32,0.9051655819420379,0.8103311638840758,0.5,1.3103311638840758,100
76,STM32,0.9051773575131086,0.8103547150262171,0.5,1.3103547150262171,100
77,STM32,0.9054246287417702,0.8108492574835404,0.5,1.3108492574835404,100
78,STM32,0.9060152860348558,0.8120305720697116,0.5,1.3120305720697116,100
79,STM32,0.9061465399411031,0.8122930798822061,0.5,1.3122930798822061,100
80,STM32,0.906151333325222,0.812302666650444,0.5,1.312302666650444,100
131,STM32,1.1088829274034073,0.21776585480681465,1.0,1.2177658548068147,100
