Sample_ID,Device,Concentration_mM,Absolute_Error_mM,Relative_Error_Percent,Scan_Rate_mVs
51,STM32,0.5,0.5229832847539457,104.59665695078914,100
52,STM32,0.5,0.5230235240892833,104.60470481785666,100
53,STM32,0.5,0.5230627414626854,104.61254829253707,100
54,STM32,0.5,0.5230479210623056,104.60958421246112,100
55,STM32,0.5,0.523138770232908,104.6277540465816,100
56,STM32,0.5,0.5231743309823749,104.63486619647497,100
57,STM32,0.5,0.5231658478928045,104.63316957856091,100
58,STM32,0.5,0.523201616538767,104.64032330775339,100
59,STM32,0.5,0.5232176717652237,104.64353435304474,100
60,STM32,0.5,0.5231944332596523,104.63888665193046,100
61,STM32,0.5,0.1278593932651031,25.57187865302062,100
62,STM32,0.5,0.12854865493122336,25.709730986244672,100
63,STM32,0.5,0.12923039700754835,25.84607940150967,100
64,STM32,0.5,0.12998474985086794,25.99694997017359,100
65,STM32,0.5,0.13038155875622337,26.076311751244674,100
66,STM32,0.5,0.13151386339398563,26.302772678797126,100
67,STM32,0.5,0.13140008390008173,26.280016780016346,100
68,STM32,0.5,0.13164686349773902,26.329372699547804,100
69,STM32,0.5,0.13205481382150275,26.41096276430055,100
70,STM32,0.5,0.13227700933856568,26.455401867713135,100
71,STM32,0.5,0.8097480941514252,161.94961883028503,100
72,STM32,0.5,0.8094833308669926,161.89666617339853,100
73,STM32,0.5,0.8104604009390926,162.0920801878185,100
74,STM32,0.5,0.8103396693389504,162.0679338677901,100
75,STM32,0.5,0.8103311638840758,162.06623277681516,100
76,STM32,0.5,0.8103547150262171,162.07094300524344,100
77,STM32,0.5,0.8108492574835404,162.16985149670808,100
78,STM32,0.5,0.8120305720697116,162.40611441394233,100
79,STM32,0.5,0.8122930798822061,162.45861597644122,100
80,STM32,0.5,0.812302666650444,162.46053333008882,100
131,STM32,1.0,0.21776585480681465,21.776585480681465,100
132,STM32,1.0,0.3761755248560412,37.61755248560412,100
133,STM32,1.0,0.3762425623034904,37.62425623034904,100
134,STM32,1.0,0.3764262840399537,37.642628403995374,100
135,STM32,1.0,0.37646894857168256,37.646894857168256,100
136,STM32,1.0,0.3765261971029634,37.65261971029634,100
137,STM32,1.0,0.3765986453475705,37.65986453475705,100
138,STM32,1.0,0.37664684097023216,37.66468409702321,100
139,STM32,1.0,0.37674384021391827,37.67438402139183,100
140,STM32,1.0,0.3767818244605099,37.67818244605099,100
141,STM32,1.0,0.06135883872462777,6.135883872462777,200
142,STM32,1.0,0.06120994566376936,6.120994566376936,200
143,STM32,1.0,0.0612451123275104,6.12451123275104,200
144,STM32,1.0,0.06134282874939512,6.134282874939512,200
145,STM32,1.0,0.061358490150434264,6.135849015043426,200
146,STM32,1.0,0.06140603344912243,6.140603344912243,200
147,STM32,1.0,0.06144815365806089,6.144815365806089,200
148,STM32,1.0,0.0615746905388157,6.15746905388157,200
149,STM32,1.0,0.06165621535888288,6.165621535888288,200
150,STM32,1.0,0.06172935410677649,6.172935410677649,200
151,STM32,1.0,1.2668523311386037,126.68523311386038,20
152,STM32,1.0,1.266895265608213,126.6895265608213,20
153,STM32,1.0,1.266889999316862,126.68899993168621,20
154,STM32,1.0,1.2668758436227017,126.68758436227017,20
155,STM32,1.0,1.266923933374407,126.69239333744069,20
156,STM32,1.0,1.2668502497671859,126.68502497671858,20
157,STM32,1.0,1.1068032165221724,110.68032165221724,20
158,STM32,1.0,1.1068119351752248,110.68119351752247,20
159,STM32,1.0,1.1068386395628957,110.68386395628957,20
160,STM32,1.0,0.7692841775375827,76.92841775375827,20
161,STM32,1.0,0.9388297414315678,93.88297414315679,400
162,STM32,1.0,0.7784317036682129,77.84317036682128,400
163,STM32,1.0,0.7782227453970281,77.8222745397028,400
164,STM32,1.0,0.7780645427511432,77.80645427511432,400
165,STM32,1.0,0.777898239206551,77.7898239206551,400
166,STM32,1.0,0.7777437168514423,77.77437168514423,400
167,STM32,1.0,0.7776338986350586,77.76338986350586,400
168,STM32,1.0,0.7775165129891244,77.75165129891244,400
169,STM32,1.0,0.7774206897334333,77.74206897334332,400
170,STM32,1.0,0.7773229874335597,77.73229874335597,400
171,STM32,1.0,0.6220331942664057,62.20331942664057,50
172,STM32,1.0,0.9596012070852411,95.96012070852412,50
173,STM32,1.0,0.622102603169961,62.2102603169961,50
174,STM32,1.0,0.6221420522368533,62.214205223685326,50
175,STM32,1.0,0.6220987020393292,62.209870203932915,50
176,STM32,1.0,0.622180896703914,62.21808967039139,50
177,STM32,1.0,0.622216820945046,62.2216820945046,50
178,STM32,1.0,0.6222204189912075,62.222041899120754,50
179,STM32,1.0,0.6222191143432605,62.221911434326046,50
180,STM32,1.0,0.6222874948782762,62.22874948782761,50
231,STM32,5.0,0.15000154172335556,3.000030834467111,100
232,STM32,5.0,0.14236217163848952,2.8472434327697904,100
233,STM32,5.0,0.1401600646500034,2.8032012930000683,100
234,STM32,5.0,0.13945951904381726,2.789190380876345,100
235,STM32,5.0,0.13803366333926625,2.760673266785325,100
236,STM32,5.0,0.13585059394597465,2.717011878919493,100
237,STM32,5.0,0.13263940475867564,2.6527880951735128,100
238,STM32,5.0,0.13238260692320392,2.6476521384640783,100
239,STM32,5.0,0.13163063638235428,2.6326127276470856,100
240,STM32,5.0,0.12977308831533207,2.5954617663066415,100
241,STM32,5.0,0.024092901755941476,0.48185803511882946,200
242,STM32,5.0,0.021441490026357535,0.42882980052715064,200
243,STM32,5.0,0.01735342247394822,0.3470684494789644,200
244,STM32,5.0,0.017423571181314657,0.34847142362629313,200
245,STM32,5.0,0.016723182486374277,0.33446364972748555,200
246,STM32,5.0,0.01705393394518051,0.3410786789036102,200
247,STM32,5.0,0.013393753839274325,0.2678750767854865,200
248,STM32,5.0,0.015067830049176223,0.30135660098352446,200
249,STM32,5.0,0.011446849543091275,0.2289369908618255,200
250,STM32,5.0,0.0054502797227335975,0.10900559445467194,200
251,STM32,5.0,0.2698588917391156,5.397177834782312,20
252,STM32,5.0,0.26975669312345296,5.395133862469059,20
253,STM32,5.0,0.26917270290056194,5.383454058011239,20
254,STM32,5.0,0.4373934469980467,8.747868939960934,20
255,STM32,5.0,0.4382108097253816,8.764216194507632,20
256,STM32,5.0,0.2695673326853356,5.391346653706712,20
257,STM32,5.0,0.4375728087940809,8.751456175881618,20
258,STM32,5.0,0.43745828427568423,8.749165685513685,20
259,STM32,5.0,0.7746672075305971,15.493344150611943,20
260,STM32,5.0,0.7745669479758499,15.491338959516998,20
261,STM32,5.0,0.2893727640324979,5.787455280649958,400
262,STM32,5.0,0.11734927381803306,2.3469854763606612,400
263,STM32,5.0,0.232525799930408,4.65051599860816,400
264,STM32,5.0,0.24155437574600302,4.8310875149200605,400
265,STM32,5.0,0.24581544187510573,4.916308837502115,400
266,STM32,5.0,0.24764521810556595,4.952904362111319,400
267,STM32,5.0,0.2514668121136605,5.02933624227321,400
268,STM32,5.0,0.2578788871344324,5.157577742688648,400
269,STM32,5.0,0.25895509768087344,5.179101953617469,400
270,STM32,5.0,0.26135734743763095,5.227146948752619,400
271,STM32,5.0,0.5770000100318189,11.540000200636378,50
272,STM32,5.0,0.57685361864886,11.5370723729772,50
273,STM32,5.0,0.5767591016102269,11.535182032204538,50
274,STM32,5.0,0.5766308330444394,11.532616660888788,50
275,STM32,5.0,0.40834000222316647,8.16680004446333,50
276,STM32,5.0,0.576625079934999,11.53250159869998,50
277,STM32,5.0,0.4088409913012878,8.176819826025756,50
278,STM32,5.0,0.5772337845977029,11.544675691954058,50
279,STM32,5.0,0.5768365732331766,11.536731464663532,50
280,STM32,5.0,0.5764224126894417,11.528448253788834,50
331,STM32,10.0,0.7807585453987471,7.807585453987471,100
332,STM32,10.0,0.7852322674227494,7.852322674227493,100
333,STM32,10.0,0.7878430543359443,7.878430543359443,100
334,STM32,10.0,0.7853897064823698,7.853897064823697,100
335,STM32,10.0,0.9497304999136578,9.497304999136578,100
336,STM32,10.0,0.9482324296248326,9.482324296248326,100
337,STM32,10.0,0.9508516369569033,9.508516369569033,100
338,STM32,10.0,0.7975788441221852,7.975788441221851,100
339,STM32,10.0,0.7958739757159847,7.958739757159846,100
340,STM32,10.0,0.8008076587034658,8.008076587034658,100
341,STM32,10.0,1.1030082921555184,11.030082921555184,200
342,STM32,10.0,1.4563138359997012,14.563138359997014,200
343,STM32,10.0,1.6306889402478149,16.30688940247815,200
344,STM32,10.0,1.6360946135763115,16.360946135763115,200
345,STM32,10.0,1.647813813736665,16.47813813736665,200
346,STM32,10.0,1.6498208641935257,16.498208641935257,200
347,STM32,10.0,1.6546467810016345,16.546467810016345,200
348,STM32,10.0,1.6558863144159268,16.558863144159268,200
349,STM32,10.0,1.6610477420816405,16.610477420816405,200
350,STM32,10.0,1.6619598582193564,16.619598582193564,200
351,STM32,10.0,0.9330528822379733,9.330528822379733,20
352,STM32,10.0,0.9301037080033296,9.301037080033296,20
353,STM32,10.0,0.9271143927013874,9.271143927013874,20
354,STM32,10.0,0.6004269879867667,6.0042698798676675,20
355,STM32,10.0,0.59323740639209,5.9323740639209,20
356,STM32,10.0,0.6007045754718483,6.007045754718483,20
357,STM32,10.0,0.5999330835867109,5.999330835867109,20
358,STM32,10.0,0.591712505734181,5.91712505734181,20
359,STM32,10.0,0.5939396780219841,5.939396780219841,20
360,STM32,10.0,0.5870322603692344,5.870322603692344,20
361,STM32,10.0,0.09868301829029491,0.986830182902949,50
362,STM32,10.0,0.26377996729952713,2.6377996729952713,50
363,STM32,10.0,0.2667108754798555,2.667108754798555,50
364,STM32,10.0,0.274432148873192,2.74432148873192,50
